index,risky,grade_A,grade_B,grade_C,grade_D,grade_E,grade_F,grade_G,term_ 36 months,term_ 60 months,home_ownership_ANY,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,prediction
106444,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
100621,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
72226,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
48769,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
11978,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
95542,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
53210,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
22721,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
63108,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
48254,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
8911,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
57396,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
74863,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
86547,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
72143,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
17797,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
50915,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
60524,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
46980,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
71724,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
73385,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
91132,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
70266,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
77575,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
51087,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
27899,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
87721,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
42587,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
38796,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
96467,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1
32557,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1
63626,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
97953,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
57581,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
39614,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
102832,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1
85012,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
95102,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
76096,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
12738,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
30862,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
56428,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
74302,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1
65788,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
79603,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
51158,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
31912,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1
96736,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
4109,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
44132,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
61128,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
84925,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
30915,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
91507,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
66994,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
44052,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
97269,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
